cohort_month,month_number,active_users,cohort_size,retention_rate
2024-01-01,0,280,280,100.00
2024-01-01,1,164,280,58.57
2024-01-01,2,175,280,62.50
2024-01-01,3,175,280,62.50
2024-01-01,4,175,280,62.50
2024-01-01,5,175,280,62.50
2024-01-01,6,175,280,62.50
2024-01-01,7,175,280,62.50
2024-01-01,8,175,280,62.50
2024-01-01,9,175,280,62.50
2024-01-01,10,175,280,62.50
2024-01-01,11,175,280,62.50
2024-02-01,0,490,490,100.00
2024-02-01,1,308,490,62.86
2024-02-01,2,308,490,62.86
2024-02-01,3,308,490,62.86
2024-02-01,4,308,490,62.86
2024-02-01,5,308,490,62.86
2024-02-01,6,308,490,62.86
2024-02-01,7,308,490,62.86
2024-02-01,8,308,490,62.86
2024-02-01,9,308,490,62.86
2024-02-01,10,308,490,62.86
2024-03-01,0,589,589,100.00
2024-03-01,1,381,589,64.69
2024-03-01,2,381,589,64.69
2024-03-01,3,381,589,64.69
2024-03-01,4,381,589,64.69
2024-03-01,5,381,589,64.69
2024-03-01,6,381,589,64.69
2024-03-01,7,381,589,64.69
2024-03-01,8,381,589,64.69
2024-03-01,9,381,589,64.69
2024-04-01,0,577,577,100.00
2024-04-01,1,365,577,63.26
2024-04-01,2,365,577,63.26
2024-04-01,3,365,577,63.26
2024-04-01,4,365,577,63.26
2024-04-01,5,365,577,63.26
2024-04-01,6,365,577,63.26
2024-04-01,7,365,577,63.26
2024-04-01,8,365,577,63.26
2024-05-01,0,629,629,100.00
2024-05-01,1,396,629,62.96
2024-05-01,2,396,629,62.96
2024-05-01,3,396,629,62.96
2024-05-01,4,396,629,62.96
2024-05-01,5,396,629,62.96
2024-05-01,6,396,629,62.96
2024-05-01,7,396,629,62.96
2024-06-01,0,568,568,100.00
2024-06-01,1,347,568,61.09
2024-06-01,2,347,568,61.09
2024-06-01,3,347,568,61.09
2024-06-01,4,347,568,61.09
2024-06-01,5,347,568,61.09
2024-06-01,6,347,568,61.09
2024-07-01,0,632,632,100.00
2024-07-01,1,404,632,63.92
2024-07-01,2,404,632,63.92
2024-07-01,3,404,632,63.92
2024-07-01,4,404,632,63.92
2024-07-01,5,404,632,63.92
2024-08-01,0,658,658,100.00
2024-08-01,1,416,658,63.22
2024-08-01,2,416,658,63.22
2024-08-01,3,416,658,63.22
2024-08-01,4,416,658,63.22
2024-09-01,0,646,646,100.00
2024-09-01,1,410,646,63.47
2024-09-01,2,410,646,63.47
2024-09-01,3,410,646,63.47
2024-10-01,0,704,704,100.00
2024-10-01,1,428,704,60.80
2024-10-01,2,428,704,60.80
2024-11-01,0,705,705,100.00
2024-11-01,1,455,705,64.54
2024-12-01,0,694,694,100.00
