user_id,experiment,variant,assignment_date
1,paywall_onboarding_v1,A,2024-10-19
2,paywall_onboarding_v1,A,2024-06-24
3,paywall_onboarding_v1,B,2024-11-15
4,paywall_onboarding_v1,B,2024-09-23
5,paywall_onboarding_v1,B,2024-02-10
6,paywall_onboarding_v1,A,2024-12-23
7,paywall_onboarding_v1,B,2024-10-14
8,paywall_onboarding_v1,A,2024-10-23
9,paywall_onboarding_v1,A,2024-02-24
10,paywall_onboarding_v1,A,2024-06-28
11,paywall_onboarding_v1,A,2024-05-29
12,paywall_onboarding_v1,A,2024-12-07
13,paywall_onboarding_v1,A,2024-09-05
14,paywall_onboarding_v1,B,2024-11-04
15,paywall_onboarding_v1,B,2024-06-25
16,paywall_onboarding_v1,B,2024-04-04
17,paywall_onboarding_v1,A,2024-08-05
18,paywall_onboarding_v1,B,2024-01-28
19,paywall_onboarding_v1,A,2024-11-05
20,paywall_onboarding_v1,B,2024-08-31
21,paywall_onboarding_v1,B,2024-10-13
22,paywall_onboarding_v1,B,2024-05-23
23,paywall_onboarding_v1,B,2024-12-21
24,paywall_onboarding_v1,A,2024-11-27
25,paywall_onboarding_v1,A,2024-10-20
26,paywall_onboarding_v1,B,2024-03-22
27,paywall_onboarding_v1,A,2024-07-04
28,paywall_onboarding_v1,B,2024-01-19
29,paywall_onboarding_v1,B,2024-03-06
30,paywall_onboarding_v1,B,2024-09-18
31,paywall_onboarding_v1,B,2024-10-09
32,paywall_onboarding_v1,A,2024-12-20
33,paywall_onboarding_v1,B,2024-05-13
34,paywall_onboarding_v1,A,2024-05-29
35,paywall_onboarding_v1,A,2024-07-05
36,paywall_onboarding_v1,A,2024-03-20
37,paywall_onboarding_v1,A,2024-02-25
38,paywall_onboarding_v1,B,2024-07-07
39,paywall_onboarding_v1,B,2024-04-04
40,paywall_onboarding_v1,A,2024-09-13
41,paywall_onboarding_v1,A,2024-06-23
42,paywall_onboarding_v1,B,2024-11-07
43,paywall_onboarding_v1,A,2024-09-24
44,paywall_onboarding_v1,A,2024-05-07
45,paywall_onboarding_v1,B,2024-11-07
46,paywall_onboarding_v1,A,2024-10-29
47,paywall_onboarding_v1,A,2024-06-05
48,paywall_onboarding_v1,B,2024-04-28
49,paywall_onboarding_v1,A,2024-09-18
50,paywall_onboarding_v1,B,2024-02-29
51,paywall_onboarding_v1,B,2024-03-24
52,paywall_onboarding_v1,A,2024-01-03
53,paywall_onboarding_v1,B,2024-10-23
54,paywall_onboarding_v1,B,2024-09-12
55,paywall_onboarding_v1,A,2024-09-25
56,paywall_onboarding_v1,A,2024-10-21
57,paywall_onboarding_v1,A,2024-07-01
58,paywall_onboarding_v1,B,2024-08-09
59,paywall_onboarding_v1,A,2024-02-29
60,paywall_onboarding_v1,A,2024-02-18
61,paywall_onboarding_v1,A,2024-09-13
62,paywall_onboarding_v1,B,2024-07-05
63,paywall_onboarding_v1,B,2024-08-08
64,paywall_onboarding_v1,A,2024-10-16
65,paywall_onboarding_v1,B,2024-09-02
66,paywall_onboarding_v1,A,2024-08-04
67,paywall_onboarding_v1,B,2024-08-06
68,paywall_onboarding_v1,B,2024-05-04
69,paywall_onboarding_v1,B,2024-01-14
70,paywall_onboarding_v1,B,2024-06-23
71,paywall_onboarding_v1,A,2024-03-30
72,paywall_onboarding_v1,A,2024-06-12
73,paywall_onboarding_v1,A,2024-11-14
74,paywall_onboarding_v1,A,2024-04-07
75,paywall_onboarding_v1,B,2024-01-25
76,paywall_onboarding_v1,A,2024-04-25
77,paywall_onboarding_v1,B,2024-04-30
78,paywall_onboarding_v1,B,2024-09-11
79,paywall_onboarding_v1,A,2024-08-05
80,paywall_onboarding_v1,B,2024-10-22
81,paywall_onboarding_v1,B,2024-09-12
82,paywall_onboarding_v1,B,2024-06-12
83,paywall_onboarding_v1,A,2024-11-01
84,paywall_onboarding_v1,A,2024-03-11
85,paywall_onboarding_v1,B,2024-01-10
86,paywall_onboarding_v1,A,2024-02-08
87,paywall_onboarding_v1,A,2024-10-01
88,paywall_onboarding_v1,B,2024-07-02
89,paywall_onboarding_v1,B,2024-03-08
90,paywall_onboarding_v1,A,2024-07-16
91,paywall_onboarding_v1,A,2024-03-05
92,paywall_onboarding_v1,A,2024-09-23
93,paywall_onboarding_v1,B,2024-06-26
94,paywall_onboarding_v1,A,2024-06-02
95,paywall_onboarding_v1,B,2024-05-03
96,paywall_onboarding_v1,B,2024-08-31
97,paywall_onboarding_v1,A,2024-05-26
98,paywall_onboarding_v1,A,2024-02-07
99,paywall_onboarding_v1,B,2024-02-20
100,paywall_onboarding_v1,A,2024-12-18
101,paywall_onboarding_v1,A,2024-12-02
102,paywall_onboarding_v1,B,2024-09-24
103,paywall_onboarding_v1,B,2024-04-19
104,paywall_onboarding_v1,B,2024-12-21
105,paywall_onboarding_v1,B,2024-10-20
106,paywall_onboarding_v1,A,2024-09-30
107,paywall_onboarding_v1,B,2024-06-27
108,paywall_onboarding_v1,B,2024-04-22
109,paywall_onboarding_v1,A,2024-02-11
110,paywall_onboarding_v1,B,2024-11-29
111,paywall_onboarding_v1,A,2024-06-30
112,paywall_onboarding_v1,A,2024-03-25
113,paywall_onboarding_v1,A,2024-05-05
114,paywall_onboarding_v1,A,2024-08-13
115,paywall_onboarding_v1,A,2024-03-15
116,paywall_onboarding_v1,B,2024-11-15
117,paywall_onboarding_v1,B,2024-10-14
118,paywall_onboarding_v1,A,2024-09-30
119,paywall_onboarding_v1,A,2024-06-21
120,paywall_onboarding_v1,A,2024-08-30
121,paywall_onboarding_v1,A,2024-08-15
122,paywall_onboarding_v1,A,2024-09-07
123,paywall_onboarding_v1,A,2024-02-06
124,paywall_onboarding_v1,B,2024-06-15
125,paywall_onboarding_v1,A,2024-01-18
126,paywall_onboarding_v1,B,2024-07-14
127,paywall_onboarding_v1,A,2024-05-14
128,paywall_onboarding_v1,A,2024-03-02
129,paywall_onboarding_v1,B,2024-02-14
130,paywall_onboarding_v1,B,2024-08-16
131,paywall_onboarding_v1,A,2024-03-12
132,paywall_onboarding_v1,A,2024-12-07
133,paywall_onboarding_v1,A,2024-08-14
134,paywall_onboarding_v1,B,2024-05-21
135,paywall_onboarding_v1,B,2024-08-17
136,paywall_onboarding_v1,B,2024-01-10
137,paywall_onboarding_v1,B,2024-12-17
138,paywall_onboarding_v1,A,2024-07-10
139,paywall_onboarding_v1,B,2024-10-22
140,paywall_onboarding_v1,A,2024-02-05
141,paywall_onboarding_v1,A,2024-07-11
142,paywall_onboarding_v1,B,2024-07-13
143,paywall_onboarding_v1,A,2024-12-11
144,paywall_onboarding_v1,B,2024-08-11
145,paywall_onboarding_v1,A,2024-07-06
146,paywall_onboarding_v1,A,2024-04-20
147,paywall_onboarding_v1,A,2024-05-15
148,paywall_onboarding_v1,A,2024-07-23
149,paywall_onboarding_v1,A,2024-06-24
150,paywall_onboarding_v1,A,2024-01-10
151,paywall_onboarding_v1,B,2024-11-05
152,paywall_onboarding_v1,B,2024-11-27
153,paywall_onboarding_v1,A,2024-02-29
154,paywall_onboarding_v1,B,2024-08-04
155,paywall_onboarding_v1,B,2024-02-16
156,paywall_onboarding_v1,A,2024-09-14
157,paywall_onboarding_v1,B,2024-04-25
158,paywall_onboarding_v1,A,2024-09-10
159,paywall_onboarding_v1,B,2024-10-03
160,paywall_onboarding_v1,A,2024-10-17
161,paywall_onboarding_v1,A,2024-02-15
162,paywall_onboarding_v1,B,2024-12-04
163,paywall_onboarding_v1,A,2024-04-05
164,paywall_onboarding_v1,B,2024-01-17
165,paywall_onboarding_v1,B,2024-08-05
166,paywall_onboarding_v1,A,2024-05-29
167,paywall_onboarding_v1,A,2024-11-06
168,paywall_onboarding_v1,B,2024-10-30
169,paywall_onboarding_v1,A,2024-05-09
170,paywall_onboarding_v1,B,2024-12-16
171,paywall_onboarding_v1,A,2024-04-29
172,paywall_onboarding_v1,A,2024-07-22
173,paywall_onboarding_v1,B,2024-04-15
174,paywall_onboarding_v1,B,2024-12-10
175,paywall_onboarding_v1,A,2024-03-10
176,paywall_onboarding_v1,A,2024-01-20
177,paywall_onboarding_v1,B,2024-06-22
178,paywall_onboarding_v1,A,2024-12-28
179,paywall_onboarding_v1,B,2024-11-26
180,paywall_onboarding_v1,B,2024-10-10
181,paywall_onboarding_v1,B,2024-11-26
182,paywall_onboarding_v1,B,2024-11-27
183,paywall_onboarding_v1,B,2024-07-23
184,paywall_onboarding_v1,A,2024-05-09
185,paywall_onboarding_v1,B,2024-10-18
186,paywall_onboarding_v1,B,2024-09-11
187,paywall_onboarding_v1,A,2024-05-30
188,paywall_onboarding_v1,B,2024-02-10
189,paywall_onboarding_v1,B,2024-10-09
190,paywall_onboarding_v1,B,2024-04-18
191,paywall_onboarding_v1,A,2024-12-10
192,paywall_onboarding_v1,A,2024-04-09
193,paywall_onboarding_v1,B,2024-02-22
194,paywall_onboarding_v1,B,2024-11-06
195,paywall_onboarding_v1,A,2024-03-05
196,paywall_onboarding_v1,B,2024-03-16
197,paywall_onboarding_v1,A,2024-08-20
198,paywall_onboarding_v1,A,2024-11-20
199,paywall_onboarding_v1,B,2024-03-23
200,paywall_onboarding_v1,A,2024-05-07
201,paywall_onboarding_v1,B,2024-10-20
202,paywall_onboarding_v1,A,2024-12-22
203,paywall_onboarding_v1,B,2024-07-16
204,paywall_onboarding_v1,B,2024-03-01
205,paywall_onboarding_v1,B,2024-01-06
206,paywall_onboarding_v1,B,2024-04-05
207,paywall_onboarding_v1,B,2024-02-26
208,paywall_onboarding_v1,A,2024-09-16
