user_id,variant,signup_date,device,country,acquisition_channel,pre_engagement_7d,trial_started,converted,retained,plan,revenue
1,A,2024-10-19,mobile,UK,Organic,11,0,0,0,NULL,0
2,A,2024-06-24,desktop,US,Paid Search,14,0,0,0,NULL,0
3,B,2024-11-15,desktop,UK,Paid Search,7,1,0,0,Pro,0
4,B,2024-09-23,mobile,UK,Paid Search,14,0,0,0,NULL,0
5,B,2024-02-10,mobile,IN,Email,9,1,0,0,Standard,0
6,A,2024-12-23,desktop,BR,Referral,10,1,0,0,Standard,0
7,B,2024-10-14,desktop,US,Organic,8,1,0,0,Standard,0
8,A,2024-10-23,mobile,IN,Organic,11,1,0,0,Standard,0
9,A,2024-02-24,mobile,US,Referral,12,1,0,0,Pro,0
10,A,2024-06-28,mobile,US,Paid Search,6,1,1,1,Standard,72.00
11,A,2024-05-29,desktop,US,Organic,5,0,0,0,NULL,0
12,A,2024-12-07,mobile,UK,Organic,5,0,0,0,NULL,0
13,A,2024-09-05,mobile,CA,Social,8,0,0,0,NULL,0
14,B,2024-11-04,desktop,DE,Paid Search,9,1,0,0,Pro,0
15,B,2024-06-25,mobile,US,Social,5,0,0,0,NULL,0
16,B,2024-04-04,mobile,UK,Referral,14,1,0,0,Standard,0
17,A,2024-08-05,desktop,IN,Organic,8,1,0,0,Standard,0
18,B,2024-01-28,desktop,IN,Paid Search,9,1,0,0,Standard,0
19,A,2024-11-05,mobile,US,Organic,13,1,1,1,Standard,24.00
20,B,2024-08-31,desktop,UK,Organic,10,0,0,0,NULL,0
21,B,2024-10-13,mobile,UK,Paid Search,13,0,0,0,NULL,0
22,B,2024-05-23,mobile,DE,Social,10,1,0,0,Standard,0
23,B,2024-12-21,mobile,UK,Organic,11,1,0,0,Pro,0
24,A,2024-11-27,mobile,UK,Paid Search,10,1,1,1,Pro,24.00
25,A,2024-10-20,desktop,US,Organic,10,1,1,1,Standard,24.00
26,B,2024-03-22,mobile,US,Paid Search,8,0,0,0,NULL,0
27,A,2024-07-04,mobile,BR,Email,6,1,0,0,Standard,0
28,B,2024-01-19,desktop,UK,Paid Search,11,1,1,0,Standard,12.00
29,B,2024-03-06,desktop,IN,Organic,12,1,0,0,Pro,0
30,B,2024-09-18,mobile,BR,Social,11,0,0,0,NULL,0
31,B,2024-10-09,desktop,US,Paid Search,7,1,0,0,Standard,0
32,A,2024-12-20,desktop,UK,Organic,12,1,1,1,Standard,12.00
33,B,2024-05-13,desktop,US,Referral,11,1,0,0,Standard,0
34,A,2024-05-29,mobile,IN,Social,6,1,0,0,Pro,0
35,A,2024-07-05,desktop,US,Referral,12,0,0,0,NULL,0
36,A,2024-03-20,mobile,CA,Paid Search,11,1,0,0,Standard,0
37,A,2024-02-25,mobile,NULL,Organic,7,0,0,0,NULL,0
38,B,2024-07-07,desktop,US,Organic,11,1,1,1,Standard,72.00
39,B,2024-04-04,desktop,US,Organic,8,1,0,0,Pro,0
40,A,2024-09-13,mobile,DE,Email,3,1,0,0,Standard,0
41,A,2024-06-23,desktop,US,Paid Search,10,0,0,0,NULL,0
42,B,2024-11-07,desktop,IN,Organic,12,1,0,0,Pro,0
43,A,2024-09-24,mobile,IN,Organic,9,1,0,0,Standard,0
44,A,2024-05-07,mobile,IN,Paid Search,9,1,1,1,Standard,96.00
45,B,2024-11-07,mobile,UK,Organic,2,0,0,0,NULL,0
46,A,2024-10-29,mobile,DE,Paid Search,5,0,0,0,NULL,0
47,A,2024-06-05,desktop,US,Social,7,1,0,0,Standard,0
48,B,2024-04-28,mobile,UK,Paid Search,8,1,0,0,Standard,0
49,A,2024-09-18,mobile,US,Organic,15,0,0,0,NULL,0
50,B,2024-02-29,desktop,US,Referral,11,1,0,0,Standard,0
51,B,2024-03-24,desktop,US,Organic,6,1,1,1,Standard,108.00
