payment_id,user_id,payment_date,amount
1,10,2024-07-12,12.0
2,10,2024-08-11,12.0
3,10,2024-09-10,12.0
4,10,2024-10-10,12.0
5,10,2024-11-09,12.0
6,10,2024-12-09,12.0
7,19,2024-11-19,12.0
8,19,2024-12-19,12.0
9,24,2024-12-13,24.0
10,25,2024-11-05,12.0
11,25,2024-12-05,12.0
12,28,2024-02-02,12.0
13,32,2025-01-03,12.0
14,38,2024-07-23,12.0
15,38,2024-08-22,12.0
16,38,2024-09-21,12.0
17,38,2024-10-21,12.0
18,38,2024-11-20,12.0
19,38,2024-12-20,12.0
20,44,2024-05-21,12.0
21,44,2024-06-20,12.0
22,44,2024-07-20,12.0
23,44,2024-08-19,12.0
24,44,2024-09-18,12.0
25,44,2024-10-18,12.0
26,44,2024-11-17,12.0
27,44,2024-12-17,12.0
28,51,2024-04-07,12.0
29,51,2024-05-07,12.0
30,51,2024-06-06,12.0
31,51,2024-07-06,12.0
32,51,2024-08-05,12.0
33,51,2024-09-04,12.0
34,51,2024-10-04,12.0
35,51,2024-11-03,12.0
36,51,2024-12-03,12.0
37,53,2024-11-06,12.0
38,53,2024-12-06,12.0
39,56,2024-11-04,12.0
40,57,2024-07-17,12.0
41,57,2024-08-16,12.0
42,57,2024-09-15,12.0
43,57,2024-10-15,12.0
44,57,2024-11-14,12.0
45,57,2024-12-14,12.0
46,59,2024-03-16,24.0
47,59,2024-04-15,24.0
48,59,2024-05-15,24.0
49,59,2024-06-14,24.0
50,59,2024-07-14,24.0
51,59,2024-08-13,24.0
52,59,2024-09-12,24.0
53,59,2024-10-12,24.0
54,59,2024-11-11,24.0
55,59,2024-12-11,24.0
56,61,2024-09-29,12.0
57,61,2024-10-29,12.0
58,61,2024-11-28,12.0
59,61,2024-12-28,12.0
60,64,2024-11-01,12.0
61,64,2024-12-01,12.0
62,64,2024-12-31,12.0
63,74,2024-04-23,12.0
64,74,2024-05-23,12.0
65,74,2024-06-22,12.0
66,74,2024-07-22,12.0
67,74,2024-08-21,12.0
68,74,2024-09-20,12.0
69,74,2024-10-20,12.0
70,74,2024-11-19,12.0
71,74,2024-12-19,12.0
72,77,2024-05-16,12.0
73,93,2024-07-10,12.0
74,93,2024-08-09,12.0
75,93,2024-09-08,12.0
76,93,2024-10-08,12.0
77,93,2024-11-07,12.0
78,93,2024-12-07,12.0
79,100,2025-01-02,12.0
80,101,2024-12-17,12.0
81,111,2024-07-16,12.0
82,115,2024-03-30,12.0
83,115,2024-04-29,12.0
84,115,2024-05-29,12.0
85,115,2024-06-28,12.0
86,115,2024-07-28,12.0
87,115,2024-08-27,12.0
88,115,2024-09-26,12.0
89,115,2024-10-26,12.0
90,115,2024-11-25,12.0
91,115,2024-12-25,12.0
92,121,2024-08-30,24.0
93,121,2024-09-29,24.0
94,121,2024-10-29,24.0
95,121,2024-11-28,24.0
96,121,2024-12-28,24.0
97,127,2024-05-28,12.0
98,127,2024-06-27,12.0
99,127,2024-07-27,12.0
100,127,2024-08-26,12.0
101,127,2024-09-25,12.0
102,127,2024-10-25,12.0
103,127,2024-11-24,12.0
104,127,2024-12-24,12.0
105,133,2024-08-29,12.0
106,133,2024-09-28,12.0
107,133,2024-10-28,12.0
108,133,2024-11-27,12.0
109,133,2024-12-27,12.0
110,146,2024-05-05,12.0
111,146,2024-06-04,12.0
112,146,2024-07-04,12.0
113,146,2024-08-03,12.0
114,146,2024-09-02,12.0
115,146,2024-10-02,12.0
116,146,2024-11-01,12.0
117,146,2024-12-01,12.0
118,146,2024-12-31,12.0
119,151,2024-11-20,24.0
