subscription_id,user_id,plan,monthly_price,trial_start_date,paid_start_date,end_date,status
1,3,Pro,24,11/17/24,,12/1/24,trial_expired
2,5,Standard,12,2/12/24,,2/26/24,trial_expired
3,6,Standard,12,12/24/24,,1/7/25,trial_expired
4,7,Standard,12,10/15/24,,10/29/24,trial_expired
5,8,Standard,12,10/25/24,,11/8/24,trial_expired
6,9,Pro,24,2/25/24,,3/10/24,trial_expired
7,10,Standard,12,6/28/24,7/12/24,,active
8,14,Pro,24,11/4/24,,11/18/24,trial_expired
9,16,Standard,12,4/5/24,,4/19/24,trial_expired
10,17,Standard,12,8/5/24,,8/19/24,trial_expired
11,18,Standard,12,1/29/24,,2/12/24,trial_expired
12,19,Standard,12,11/5/24,11/19/24,,active
13,22,Standard,12,5/23/24,,6/6/24,trial_expired
14,23,Pro,24,12/22/24,,1/5/25,trial_expired
15,24,Pro,24,11/29/24,12/13/24,,active
16,25,Standard,12,10/22/24,11/5/24,,active
17,27,Standard,12,7/6/24,,7/20/24,trial_expired
18,28,Standard,12,1/19/24,2/2/24,2/23/24,churned
19,29,Pro,24,3/7/24,,3/21/24,trial_expired
20,31,Standard,12,10/9/24,,10/23/24,trial_expired
21,32,Standard,12,12/20/24,1/3/25,,active
22,33,Standard,12,5/13/24,,5/27/24,trial_expired
23,34,Pro,24,5/30/24,,6/13/24,trial_expired
24,36,Standard,12,3/20/24,,4/3/24,trial_expired
25,38,Standard,12,7/9/24,7/23/24,,active
26,39,Pro,24,4/6/24,,4/20/24,trial_expired
27,40,Standard,12,9/14/24,,9/28/24,trial_expired
28,42,Pro,24,11/8/24,,11/22/24,trial_expired
29,43,Standard,12,9/24/24,,10/8/24,trial_expired
30,44,Standard,12,5/7/24,5/21/24,,active
31,47,Standard,12,6/7/24,,6/21/24,trial_expired
32,48,Standard,12,4/28/24,,5/12/24,trial_expired
33,50,Standard,12,3/1/24,,3/15/24,trial_expired
34,51,Standard,12,3/24/24,4/7/24,,active
35,52,Standard,12,1/5/24,,1/19/24,trial_expired
36,53,Standard,12,10/23/24,11/6/24,,active
37,54,Standard,12,9/12/24,,9/26/24,trial_expired
38,55,Standard,12,9/26/24,,10/10/24,trial_expired
39,56,Standard,12,10/21/24,11/4/24,11/28/24,churned
40,57,Standard,12,7/3/24,7/17/24,,active
41,58,Standard,12,8/11/24,,8/25/24,trial_expired
42,59,Pro,24,3/2/24,3/16/24,,active
43,60,Standard,12,2/18/24,,3/3/24,trial_expired
44,61,Standard,12,9/15/24,9/29/24,,active
45,64,Standard,12,10/18/24,11/1/24,,active
46,65,Standard,12,9/2/24,,9/16/24,trial_expired
47,66,Pro,24,8/6/24,,8/20/24,trial_expired
48,67,Standard,12,8/6/24,,8/20/24,trial_expired
49,68,Pro,24,5/6/24,,5/20/24,trial_expired
50,69,Standard,12,1/15/24,,1/29/24,trial_expired
51,73,Standard,12,11/15/24,,11/29/24,trial_expired
52,74,Standard,12,4/9/24,4/23/24,,active
53,75,Pro,24,1/25/24,,2/8/24,trial_expired
54,76,Pro,24,4/25/24,,5/9/24,trial_expired
55,77,Standard,12,5/2/24,5/16/24,6/10/24,churned
56,79,Standard,12,8/7/24,,8/21/24,trial_expired
57,80,Standard,12,10/24/24,,11/7/24,trial_expired
58,83,Standard,12,11/1/24,,11/15/24,trial_expired
59,84,Standard,12,3/11/24,,3/25/24,trial_expired
60,85,Standard,12,1/11/24,,1/25/24,trial_expired
61,88,Pro,24,7/4/24,,7/18/24,trial_expired
62,89,Pro,24,3/10/24,,3/24/24,trial_expired
63,93,Standard,12,6/26/24,7/10/24,,active
64,95,Standard,12,5/3/24,,5/17/24,trial_expired
65,96,Standard,12,9/2/24,,9/16/24,trial_expired
66,99,Standard,12,2/22/24,,3/7/24,trial_expired
67,100,Standard,12,12/19/24,1/2/25,1/17/25,churned
68,101,Standard,12,12/3/24,12/17/24,,active
69,102,Pro,24,9/25/24,,10/9/24,trial_expired
70,103,Standard,12,4/19/24,,5/3/24,trial_expired
71,104,Standard,12,12/21/24,,1/4/25,trial_expired
72,105,Standard,12,10/21/24,,11/4/24,trial_expired
73,106,Pro,24,9/30/24,,10/14/24,trial_expired
74,107,Pro,24,6/28/24,,7/12/24,trial_expired
75,111,Standard,12,7/2/24,7/16/24,8/6/24,churned
76,112,Standard,12,3/26/24,,4/9/24,trial_expired
77,113,Standard,12,5/6/24,,5/20/24,trial_expired
78,114,Pro,24,8/14/24,,8/28/24,trial_expired
79,115,Standard,12,3/16/24,3/30/24,,active
80,117,Pro,24,10/14/24,,10/28/24,trial_expired
81,118,Standard,12,10/2/24,,10/16/24,trial_expired
82,121,Pro,24,8/16/24,8/30/24,,active
83,122,Pro,24,9/9/24,,9/23/24,trial_expired
84,123,Standard,12,2/7/24,,2/21/24,trial_expired
85,124,Standard,12,6/15/24,,6/29/24,trial_expired
86,126,Pro,24,7/15/24,,7/29/24,trial_expired
87,127,Standard,12,5/14/24,5/28/24,,active
88,132,Standard,12,12/7/24,,12/21/24,trial_expired
89,133,Standard,12,8/15/24,8/29/24,,active
90,134,Standard,12,5/22/24,,6/5/24,trial_expired
91,136,Standard,12,1/12/24,,1/26/24,trial_expired
92,138,Standard,12,7/12/24,,7/26/24,trial_expired
93,142,Pro,24,7/15/24,,7/29/24,trial_expired
94,143,Pro,24,12/11/24,,12/25/24,trial_expired
95,146,Standard,12,4/21/24,5/5/24,,active
96,149,Pro,24,6/25/24,,7/9/24,trial_expired
97,150,Pro,24,1/10/24,,1/24/24,trial_expired
98,151,Pro,24,11/6/24,11/20/24,12/5/24,churned
99,152,Pro,24,11/27/24,,12/11/24,trial_expired
100,153,Standard,12,2/29/24,,3/14/24,trial_expired
101,154,Standard,12,8/4/24,,8/18/24,trial_expired
102,155,Pro,24,2/17/24,,3/2/24,trial_expired
103,159,Standard,12,10/4/24,,10/18/24,trial_expired
104,160,Pro,24,10/19/24,11/2/24,,active
105,161,Standard,12,2/17/24,,3/2/24,trial_expired
106,163,Standard,12,4/5/24,,4/19/24,trial_expired
107,164,Standard,12,1/19/24,2/2/24,2/28/24,churned
108,165,Standard,12,8/5/24,,8/19/24,trial_expired
109,166,Standard,12,5/29/24,,6/12/24,trial_expired
110,167,Standard,12,11/7/24,,11/21/24,trial_expired
111,171,Standard,12,4/30/24,,5/14/24,trial_expired
112,172,Standard,12,7/22/24,,8/5/24,trial_expired
113,175,Standard,12,3/10/24,,3/24/24,trial_expired
114,176,Pro,24,1/22/24,,2/5/24,trial_expired
115,177,Standard,12,6/22/24,,7/6/24,trial_expired
116,179,Standard,12,11/27/24,,12/11/24,trial_expired
117,181,Standard,12,11/27/24,,12/11/24,trial_expired
118,182,Standard,12,11/29/24,12/13/24,,active
119,184,Pro,24,5/10/24,5/24/24,6/14/24,churned
120,186,Standard,12,9/12/24,,9/26/24,trial_expired
121,187,Pro,24,5/31/24,,6/14/24,trial_expired
122,188,Pro,24,2/10/24,,2/24/24,trial_expired
123,189,Pro,24,10/10/24,,10/24/24,trial_expired
124,191,Standard,12,12/10/24,,12/24/24,trial_expired
125,193,Standard,12,2/23/24,3/8/24,,active
126,194,Standard,12,11/8/24,11/22/24,,active
127,197,Pro,24,8/20/24,,9/3/24,trial_expired
128,199,Standard,12,3/25/24,,4/8/24,trial_expired
129,200,Standard,12,5/9/24,,5/23/24,trial_expired
130,201,Pro,24,10/20/24,,11/3/24,trial_expired
131,202,Standard,12,12/23/24,,1/6/25,trial_expired
132,204,Standard,12,3/3/24,,3/17/24,trial_expired
133,205,Pro,24,1/8/24,,1/22/24,trial_expired
134,206,Standard,12,4/7/24,,4/21/24,trial_expired
135,207,Pro,24,2/28/24,,3/13/24,trial_expired
136,208,Standard,12,9/17/24,,10/1/24,trial_expired
137,209,Standard,12,2/21/24,,3/6/24,trial_expired
138,210,Pro,24,7/18/24,,8/1/24,trial_expired
139,211,Standard,12,9/23/24,,10/7/24,trial_expired
140,212,Standard,12,8/15/24,,8/29/24,trial_expired
141,213,Pro,24,3/25/24,,4/8/24,trial_expired
142,214,Pro,24,10/29/24,11/12/24,,active
143,215,Standard,12,9/30/24,,10/14/24,trial_expired
144,216,Pro,24,10/8/24,10/22/24,11/20/24,churned
145,218,Pro,24,2/22/24,3/7/24,,active
146,219,Standard,12,12/8/24,12/22/24,,active
147,221,Standard,12,5/4/24,,5/18/24,trial_expired
148,223,Standard,12,9/12/24,,9/26/24,trial_expired
149,226,Pro,24,12/9/24,,12/23/24,trial_expired
150,229,Standard,12,9/2/24,9/16/24,,active
151,230,Standard,12,2/16/24,,3/1/24,trial_expired
152,231,Standard,12,3/2/24,,3/16/24,trial_expired
153,232,Pro,24,6/17/24,,7/1/24,trial_expired
154,233,Standard,12,12/21/24,,1/4/25,trial_expired
155,234,Pro,24,8/20/24,,9/3/24,trial_expired
156,235,Standard,12,12/10/24,12/24/24,,active
157,236,Standard,12,10/30/24,11/13/24,11/29/24,churned
158,238,Standard,12,10/24/24,,11/7/24,trial_expired
159,239,Standard,12,1/9/24,1/23/24,,active
160,242,Standard,12,10/28/24,,11/11/24,trial_expired
161,243,Standard,12,4/7/24,4/21/24,5/18/24,churned
162,244,Pro,24,7/28/24,,8/11/24,trial_expired
163,246,Standard,12,11/19/24,12/3/24,,active
164,247,Standard,12,8/21/24,,9/4/24,trial_expired
165,248,Standard,12,6/15/24,6/29/24,7/25/24,churned
166,249,Standard,12,6/2/24,6/16/24,7/12/24,churned
167,250,Standard,12,6/21/24,,7/5/24,trial_expired
168,251,Pro,24,9/9/24,,9/23/24,trial_expired
169,252,Standard,12,11/20/24,,12/4/24,trial_expired
170,254,Pro,24,4/14/24,,4/28/24,trial_expired
171,255,Standard,12,4/8/24,,4/22/24,trial_expired
172,256,Pro,24,10/10/24,,10/24/24,trial_expired
173,257,Standard,12,11/4/24,,11/18/24,trial_expired
174,258,Standard,12,2/15/24,,2/29/24,trial_expired
175,259,Pro,24,1/29/24,,2/12/24,trial_expired
176,260,Pro,24,8/19/24,9/2/24,,active
177,261,Standard,12,3/3/24,3/17/24,4/9/24,churned
178,262,Standard,12,11/4/24,,11/18/24,trial_expired
179,266,Standard,12,3/12/24,3/26/24,,active
180,267,Standard,12,4/28/24,,5/12/24,trial_expired
181,268,Standard,12,3/7/24,3/21/24,4/17/24,churned
182,270,Standard,12,1/11/24,,1/25/24,trial_expired
183,271,Standard,12,1/25/24,2/8/24,3/2/24,churned
184,272,Standard,12,3/14/24,3/28/24,4/17/24,churned
185,273,Pro,24,1/23/24,2/6/24,,active
186,274,Standard,12,8/17/24,,8/31/24,trial_expired
187,275,Standard,12,9/17/24,,10/1/24,trial_expired
188,277,Standard,12,5/10/24,,5/24/24,trial_expired
189,278,Standard,12,7/19/24,8/2/24,8/19/24,churned
190,279,Pro,24,11/22/24,,12/6/24,trial_expired
191,280,Standard,12,11/15/24,,11/29/24,trial_expired
192,281,Standard,12,1/19/24,,2/2/24,trial_expired
193,282,Pro,24,3/17/24,,3/31/24,trial_expired
194,283,Pro,24,4/10/24,,4/24/24,trial_expired
195,284,Standard,12,4/14/24,4/28/24,,active
196,285,Pro,24,8/12/24,,8/26/24,trial_expired
197,286,Standard,12,6/15/24,,6/29/24,trial_expired
198,287,Standard,12,1/24/24,2/7/24,,active
199,289,Standard,12,7/25/24,,8/8/24,trial_expired
200,290,Pro,24,2/13/24,2/27/24,,active
201,291,Standard,12,11/7/24,,11/21/24,trial_expired
202,292,Pro,24,1/24/24,2/7/24,,active
203,294,Standard,12,2/12/24,2/26/24,3/18/24,churned
204,295,Standard,12,11/12/24,,11/26/24,trial_expired
205,296,Standard,12,11/29/24,12/13/24,,active
206,297,Pro,24,12/26/24,,1/9/25,trial_expired
207,298,Standard,12,10/29/24,,11/12/24,trial_expired
208,299,Standard,12,10/21/24,,11/4/24,trial_expired
209,300,Standard,12,9/5/24,,9/19/24,trial_expired
210,301,Standard,12,10/21/24,,11/4/24,trial_expired
211,303,Standard,12,7/31/24,,8/14/24,trial_expired
212,304,Pro,24,7/23/24,,8/6/24,trial_expired
213,305,Standard,12,11/15/24,11/29/24,,active
214,307,Standard,12,6/5/24,,6/19/24,trial_expired
215,308,Standard,12,9/4/24,,9/18/24,trial_expired
216,309,Pro,24,4/21/24,5/5/24,,active
217,311,Standard,12,7/9/24,,7/23/24,trial_expired
218,312,Standard,12,6/18/24,7/2/24,7/17/24,churned
219,314,Standard,12,5/30/24,6/13/24,,active
220,315,Pro,24,5/28/24,,6/11/24,trial_expired
221,316,Standard,12,5/14/24,,5/28/24,trial_expired
222,317,Pro,24,6/2/24,,6/16/24,trial_expired
223,318,Pro,24,9/21/24,,10/5/24,trial_expired
224,319,Standard,12,5/1/24,,5/15/24,trial_expired
225,320,Standard,12,12/16/24,12/30/24,1/28/25,churned
226,321,Standard,12,12/4/24,12/18/24,,active
227,324,Standard,12,7/30/24,8/13/24,9/6/24,churned
228,325,Pro,24,11/12/24,,11/26/24,trial_expired
229,327,Pro,24,10/29/24,,11/12/24,trial_expired
230,328,Pro,24,7/30/24,,8/13/24,trial_expired
231,329,Pro,24,9/1/24,9/15/24,,active
232,330,Standard,12,4/29/24,,5/13/24,trial_expired
233,331,Pro,24,10/8/24,,10/22/24,trial_expired
234,332,Standard,12,3/27/24,4/10/24,5/3/24,churned
235,333,Standard,12,9/23/24,10/7/24,,active
236,334,Standard,12,11/16/24,,11/30/24,trial_expired
237,335,Standard,12,2/27/24,3/12/24,,active
238,336,Standard,12,8/27/24,,9/10/24,trial_expired
239,337,Standard,12,2/10/24,,2/24/24,trial_expired
240,338,Standard,12,10/4/24,,10/18/24,trial_expired
241,339,Standard,12,2/8/24,2/22/24,,active
242,342,Pro,24,12/19/24,1/2/25,1/17/25,churned
243,344,Standard,12,8/18/24,,9/1/24,trial_expired
244,345,Standard,12,10/23/24,11/6/24,,active
245,346,Pro,24,10/27/24,11/10/24,12/9/24,churned
246,347,Pro,24,12/13/24,,12/27/24,trial_expired
247,348,Pro,24,4/16/24,4/30/24,,active
248,349,Pro,24,8/17/24,8/31/24,,active
249,350,Standard,12,2/11/24,,2/25/24,trial_expired
250,354,Standard,12,8/12/24,,8/26/24,trial_expired
251,356,Standard,12,7/24/24,8/7/24,8/23/24,churned
252,363,Pro,24,2/21/24,3/6/24,,active
253,365,Standard,12,9/11/24,9/25/24,,active
254,366,Standard,12,6/16/24,,6/30/24,trial_expired
255,368,Standard,12,9/16/24,,9/30/24,trial_expired
256,370,Standard,12,11/28/24,,12/12/24,trial_expired
257,372,Pro,24,4/21/24,,5/5/24,trial_expired
258,375,Standard,12,3/7/24,,3/21/24,trial_expired
259,376,Standard,12,3/3/24,,3/17/24,trial_expired
260,377,Pro,24,12/11/24,,12/25/24,trial_expired
261,378,Standard,12,6/24/24,,7/8/24,trial_expired
262,381,Pro,24,8/4/24,,8/18/24,trial_expired
263,382,Standard,12,12/12/24,12/26/24,1/13/25,churned
264,383,Pro,24,10/23/24,,11/6/24,trial_expired
265,385,Standard,12,6/2/24,6/16/24,7/1/24,churned
266,386,Standard,12,12/28/24,1/11/25,,active
267,388,Standard,12,12/15/24,,12/29/24,trial_expired
268,390,Standard,12,11/15/24,,11/29/24,trial_expired
269,391,Standard,12,9/3/24,,9/17/24,trial_expired
270,392,Standard,12,2/22/24,,3/7/24,trial_expired
271,393,Pro,24,8/16/24,,8/30/24,trial_expired
272,396,Pro,24,6/29/24,7/13/24,,active
273,398,Standard,12,5/3/24,5/17/24,,active
274,399,Standard,12,7/1/24,,7/15/24,trial_expired
275,400,Pro,24,6/27/24,7/11/24,,active
276,401,Standard,12,5/5/24,,5/19/24,trial_expired
277,402,Standard,12,12/6/24,,12/20/24,trial_expired
278,403,Standard,12,10/21/24,,11/4/24,trial_expired
279,406,Standard,12,11/22/24,12/6/24,,active
280,408,Pro,24,11/10/24,,11/24/24,trial_expired
281,409,Standard,12,2/17/24,,3/2/24,trial_expired
282,410,Standard,12,12/31/24,,1/14/25,trial_expired
283,411,Standard,12,9/12/24,,9/26/24,trial_expired
284,412,Standard,12,9/9/24,,9/23/24,trial_expired
285,413,Standard,12,2/10/24,,2/24/24,trial_expired
286,414,Standard,12,11/28/24,,12/12/24,trial_expired
287,415,Pro,24,1/14/24,,1/28/24,trial_expired
288,416,Standard,12,4/10/24,4/24/24,5/10/24,churned
289,417,Standard,12,3/2/24,,3/16/24,trial_expired
290,418,Standard,12,10/21/24,,11/4/24,trial_expired
291,419,Standard,12,3/25/24,,4/8/24,trial_expired
292,420,Standard,12,12/3/24,12/17/24,1/12/25,churned
293,421,Standard,12,9/11/24,9/25/24,10/11/24,churned
294,422,Standard,12,1/17/24,1/31/24,,active
295,423,Pro,24,1/5/24,1/19/24,2/12/24,churned
296,424,Standard,12,1/23/24,,2/6/24,trial_expired
297,427,Pro,24,4/11/24,,4/25/24,trial_expired
298,428,Standard,12,11/14/24,11/28/24,,active
299,431,Standard,12,12/9/24,12/23/24,,active
300,432,Pro,24,10/20/24,,11/3/24,trial_expired
301,433,Standard,12,9/24/24,10/8/24,11/3/24,churned
302,434,Standard,12,11/10/24,,11/24/24,trial_expired
303,436,Pro,24,3/27/24,,4/10/24,trial_expired
304,437,Standard,12,2/22/24,,3/7/24,trial_expired
305,439,Standard,12,10/10/24,10/24/24,11/22/24,churned
306,440,Standard,12,8/31/24,9/14/24,10/11/24,churned
307,443,Standard,12,10/7/24,10/21/24,11/5/24,churned
308,444,Standard,12,3/21/24,4/4/24,,active
309,446,Pro,24,9/28/24,,10/12/24,trial_expired
310,447,Standard,12,12/25/24,,1/8/25,trial_expired
311,448,Pro,24,8/25/24,,9/8/24,trial_expired
312,449,Standard,12,1/25/24,2/8/24,3/8/24,churned
313,450,Standard,12,8/28/24,,9/11/24,trial_expired
314,453,Pro,24,9/28/24,,10/12/24,trial_expired
315,454,Standard,12,3/14/24,,3/28/24,trial_expired
316,455,Standard,12,2/11/24,,2/25/24,trial_expired
317,458,Standard,12,7/2/24,,7/16/24,trial_expired
318,459,Standard,12,10/24/24,11/7/24,11/23/24,churned
319,460,Standard,12,9/2/24,,9/16/24,trial_expired
320,461,Standard,12,8/13/24,,8/27/24,trial_expired
321,462,Standard,12,3/2/24,,3/16/24,trial_expired
322,464,Standard,12,5/3/24,,5/17/24,trial_expired
323,465,Standard,12,8/13/24,,8/27/24,trial_expired
324,466,Standard,12,9/26/24,10/10/24,,active
325,467,Pro,24,9/6/24,9/20/24,,active
