user_id,signup_date,acquisition_channel,country,device,pre_engagement_7d
1,2024-10-19,Organic,UK,mobile,11
2,2024-06-24,Paid Search,US,desktop,14
3,2024-11-15,Paid Search,UK,desktop,7
4,2024-09-23,Paid Search,UK,mobile,14
5,2024-02-10,Email,IN,mobile,9
6,2024-12-23,Referral,BR,desktop,10
7,2024-10-14,Organic,US,desktop,8
8,2024-10-23,Organic,IN,mobile,11
9,2024-02-24,Referral,US,mobile,12
10,2024-06-28,Paid Search,US,mobile,6
11,2024-05-29,Organic,US,desktop,5
12,2024-12-07,Organic,UK,mobile,5
13,2024-09-05,Social,CA,mobile,8
14,2024-11-04,Paid Search,DE,desktop,9
15,2024-06-25,Social,US,mobile,5
16,2024-04-04,Referral,UK,mobile,14
17,2024-08-05,Organic,IN,desktop,8
18,2024-01-28,Paid Search,IN,desktop,9
19,2024-11-05,Organic,US,mobile,13
20,2024-08-31,Organic,UK,desktop,10
21,2024-10-13,Paid Search,UK,mobile,13
22,2024-05-23,Social,DE,mobile,10
23,2024-12-21,Organic,UK,mobile,11
24,2024-11-27,Paid Search,UK,mobile,10
25,2024-10-20,Organic,US,desktop,10
26,2024-03-22,Paid Search,US,mobile,8
27,2024-07-04,Email,BR,mobile,6
28,2024-01-19,Paid Search,UK,desktop,11
29,2024-03-06,Organic,IN,desktop,12
30,2024-09-18,Social,BR,mobile,11
31,2024-10-09,Paid Search,US,desktop,7
32,2024-12-20,Organic,UK,desktop,12
33,2024-05-13,Referral,US,desktop,11
34,2024-05-29,Social,IN,mobile,6
35,2024-07-05,Referral,US,desktop,12
36,2024-03-20,Paid Search,CA,mobile,11
37,2024-02-25,Organic,,mobile,7
38,2024-07-07,Organic,US,desktop,11
39,2024-04-04,Organic,US,desktop,8
40,2024-09-13,Email,DE,mobile,3
41,2024-06-23,Paid Search,US,desktop,10
42,2024-11-07,Organic,IN,desktop,12
43,2024-09-24,Organic,IN,mobile,9
44,2024-05-07,Paid Search,IN,mobile,9
45,2024-11-07,Organic,UK,mobile,2
46,2024-10-29,Paid Search,DE,mobile,5
47,2024-06-05,Social,US,desktop,7
48,2024-04-28,Paid Search,UK,mobile,8
49,2024-09-18,Organic,US,mobile,15
50,2024-02-29,Referral,US,desktop,11
51,2024-03-24,Organic,US,desktop,6
52,2024-01-03,Organic,DE,mobile,7
53,2024-10-23,Organic,DE,desktop,8
54,2024-09-12,Social,US,mobile,6
55,2024-09-25,Organic,UK,mobile,7
56,2024-10-21,Organic,US,desktop,8
57,2024-07-01,Referral,CA,mobile,12
58,2024-08-09,Organic,BR,mobile,7
59,2024-02-29,Social,BR,desktop,12
60,2024-02-18,Paid Search,UK,desktop,3
61,2024-09-13,Organic,IN,mobile,8
62,2024-07-05,Email,US,desktop,11
63,2024-08-08,Referral,US,mobile,15
64,2024-10-16,Organic,US,desktop,8
65,2024-09-02,Social,,mobile,13
66,2024-08-04,Organic,IN,mobile,9
67,2024-08-06,Organic,US,mobile,8
68,2024-05-04,Paid Search,CA,mobile,11
69,2024-01-14,Paid Search,CA,desktop,6
70,2024-06-23,Paid Search,IN,desktop,7
71,2024-03-30,Social,DE,mobile,9
72,2024-06-12,Organic,CA,mobile,3
73,2024-11-14,Email,US,desktop,6
74,2024-04-07,Paid Search,CA,desktop,7
75,2024-01-25,Paid Search,DE,mobile,12
76,2024-04-25,Referral,,mobile,11
77,2024-04-30,Paid Search,IN,mobile,9
78,2024-09-11,Organic,US,mobile,10
79,2024-08-05,Paid Search,US,desktop,13
80,2024-10-22,Paid Search,BR,desktop,10
81,2024-09-12,Organic,BR,mobile,9
82,2024-06-12,Organic,UK,desktop,13
83,2024-11-01,Paid Search,US,mobile,7
84,2024-03-11,Paid Search,US,mobile,8
